"venue","update date","vintage","size","price","wine name"
"Green Acres","2023-11-02","2014","-","55","Chateau Pique-Caillou, Pessac-Leognan, €"
"Green Acres","2023-11-02","2017","-","65","Les C De Carmes De Haut-Brion, Pessac-Leognan, €"
"Green Acres","2023-11-02","2015","-","65","Chatea Olivier, Pessac-Leognan, €"
"Green Acres","2023-11-02","2015","-","75","La Parde Haut-Bailly, Pessac-Leognan, €"
"Green Acres","2023-11-02","2014","-","95","Chateau Malartic Lagraviere, Pessac-Leognan, €"
"Green Acres","2023-11-02","2004","-","150","Chateau Pape-Clement, Pessac-Leognan, €"
"Green Acres","2023-11-02","2018","-","42","Bourgogne Passetoutgrain, Hubert Lignier, €"
"Green Acres","2023-11-02","2007","-","50","Bourgogne, Robert Groffier, €"
"Green Acres","2023-11-02","2013","-","55","Bourgogne, Hubert Lignier, €"
"Green Acres","2023-11-02","2016","-","60","Bourgogne Passetoutgrain, Robert Groffier, €"
"Green Acres","2023-11-02","2017","-","70","Bourgogne Hautes-Cotes De Nuits, Domaine Anne Gros, €"
"Green Acres","2023-11-02","2018","-","75","Marsannay ‘Les Vaudenelles , Domaine Bruno Clair, €"
"Green Acres","2023-11-02","2018","-","83","Cote De Nuits-Villages "Aux Faulques", Jean-Marc Millot, €"
"Green Acres","2023-11-02","2007","-","85","Nuits-Saint-Georges, Robert Chevillon, €"
"Green Acres","2023-11-02","2016","-","95","Bourgogne, Dugat-Py, €"
"Green Acres","2023-11-02","2013","-","98","Nuits-Saint-Georges "Les Poisets", Hubert Lignier, €"
"Green Acres","2023-11-02","2013","-","100","Morey-St-Denis "Tres Girard", Hubert Lignier, €"
"Green Acres","2023-11-02","2014","-","100","Gevrey-Chambertin, Hubert Lignier, €"
"Green Acres","2023-11-02","2020","-","120","Bourgogne Pinot Noir, Domaine Jean-Marie Fourrier, €"
"Green Acres","2023-11-02","2020","-","125","Bourgogne "La Croix Blanche", Charles Lachaux, €"
"Green Acres","2023-11-02","2018","-","125","Gevrey-Chambertin "Ostrea", Trapet, €"
"Green Acres","2023-11-02","2018","-","150","Bourgogne Pinot Fin, Domaine Arnoux-Lachoux, €"
"Green Acres","2023-11-02","2007","-","150","Chambolle-Musigny, Domaine Arnoux-Lachaux, €"
"Green Acres","2023-11-02","2013","-","150","Gevrey-Chambertin ‘Les Seuvrees’, Robert Groffier, €"
"Green Acres","2023-11-02","2013","-","175","Vosne-Romanee, Domaine Arnoux-Lachaux, €"
