"venue","update date","vintage","size","price","wine name"
"Fool","2023-11-02","2018","-","190","Diego Conterno, Barolo 'Le Coste Di Monforte', Piedmont, Italy"
"Fool","2023-11-02","2016","-","210","Negro Giuseppe, Barbaresco ‘Pian Cavallo’, Piedmont, Italy"
"Fool","2023-11-02","2015","-","225","Il Colle, Brunello Di Montalcino, Tuscany, Italy"
"Fool","2023-11-02","2017","-","245","Gianni Brunelli, Brunello Di Montalcino, Tuscany, Italy"
"Fool","2023-11-02","2016","-","250","Cigliuti, Barbaresco 'Serraboella', Piedmont, Italy"
"Fool","2023-11-02","2018","-","270","Francesco Rinaldi & Figli, Barolo 'Cannubi', Piedmont, Italy"
"Fool","2023-11-02","2013","-","315","Poderi Boscarelli, Vino Nobile Di Montepulciano ‘Il Nocio’, Tuscany, Italy"
"Fool","2023-11-02","1989","-","1650","Gaja, Barbaresco ‘Sori Tildin’, Piedmont, Italy"
"Fool","2023-11-02","-","-","39","Top Docgs, Red"
"Fool","2023-11-02","2019","-","90","Ziereisen, Heugumber, Baden, Germany"
"Fool","2023-11-02","2020","-","115","Anselmi, Capitel Croce, Veneto, Italy"
"Fool","2023-11-02","2020","-","150","Les Dolomies, Les Combes, Jura, France"
"Fool","2023-11-02","2020","-","195","La Soufrandière, La Carbonnode, Burgundy, France"
"Fool","2023-11-02","2020","-","200","Château Le Puy, Rose-Marie, Bordeaux, France"
"Fool","2023-11-02","2021","-","150","Ferme De La Sansonnière, Les Gelinettes, Anjou, France"
"Fool","2023-11-02","2013","-","170","Domaine Plageoles, Prunelart, Gaillac, France"
"Fool","2023-11-02","2018","-","180","Le Boncie, Le Trame, Tuscany, France"
"Fool","2023-11-02","2017","-","180","Querciabella, Turpino, Tuscany, Italy"
"Fool","2023-11-02","NV","-","280","Henri Bonneau, Les Rouliers, Châteauneuf-Du-Pape, France"
"Fool","2023-11-02","2018","-","170","La Ferme Des Sept Lunes, Halo Sur La Baudet, Saint Joseph, France"
"Fool","2023-11-02","2013","-","180","Paul Jaboulet-Aîné, Domaine De Thalabert, Crozes-Hermitage, France"
